Discovering Albanian I Textbook 	 491.99182421  	 Language/Other languages/East Indo-European & Celtic languages/Discovering Albanian I Textbook - Héctor Campos, Linda Mëniku
Dyirbal Language of North Queensland (Dixon) 	 499.15  	 Language/Other languages/Austronesian & other languages/The Dyirbal Language Of North Queensland - Robert M. W Dixon
El Coreano Basico 	 495.73461  	 Language/Other languages/Languages of East & Southeast Asia/El Coreano Basico - In-sug Bag
epdf.pub_haitian-creole-phrasebook-essential-expressions-fo 	 447.97294  	 Language/French & related languages/French language variations/Haitian Creole Phrasebook_ Essential Expressions For Communicating In Haiti - Jowel C. Laguerre, Cécile Accilien
Ewha Korean 1-1 	 411.86 : Language/Linguistics/Writing systems/Ihwa Han'Gugŏ_ Ewha Korean,  	 3-2 =. English Version -
Farsi (Persian) for Beginners_ Mastering Conversational Farsi ( PDFDrive.com ) 	 491.55  	 Language/Other languages/East Indo-European & Celtic languages/Farsi (Persian) For Beginners_ Mastering Conversational Farsi - Saeid Atoofi, Maliheh Atoofi
Fiji-Hindi 	 491.4383421  	 Language/Other languages/East Indo-European & Celtic languages/Fiji Hindi_ A Basic Course And Reference Grammar - Rama Narayan, Rodney F. Moag
Fiji Hindi - English, English - Fiji Hindi Dictionary 	 491.437099611  	 Language/Other languages/East Indo-European & Celtic languages/Fiji Hindi-English, English-Fiji Hindi Dictionary - Susan Hobbs
Forensic-Linguistics 	 363.2522  	 Social sciences/Social problems & social services/Other social problems & services/Dimensions Of Forensic Linguistics - M. Teresa Turell, John Gibbons
French 	 823.8  	 Literature/English & Old English literatures/English fiction/Alice'S Adventures In Wonderland - John Tenniel, Helen Oxenbury, Lewis Carroll, Donald J. Gray
French-Routledge 	 332.03  	 Social sciences/Economics/Financial economics/Routledge French Dictionary Of Business, Commerce And Finance_ French - English, English - French = Routledge Dictionnaire Anglais Des Affaires, Du Commerce Et De La Finance -
Gagana Samoa_ A Samoan Language Coursebook 	 499.46282421  	 Language/Other languages/Austronesian & other languages/Gagana Sāmoa_ A Samoan Language Coursebook - Galumalemana Afeleti L. Hunkin
GENKI I_ An Integrated Course in Elementary Japanese 	 495.682421 : Language/Other languages/Languages of East & Southeast Asia/Shokyū Nihongo_ Genki : I = An Integrated Course In Elementary Japanese  	 Genki - Eri Banno
Gramática de uso del Español Teoría y práctica. Con solucionario. B1-B2 	 465 : Language/Spanish & Portuguese languages/Spanish grammar/Gramática De Uso Del Español_ Teoría Y Práctica : Con Solucionario  	 B1-B2 - Luis Aragonés
Gramática de uso del español_ Teoría y práctica_ Con solucionario. C1-C2 	 465 : Language/Spanish & Portuguese languages/Spanish grammar/Gramática De Uso Del Español_ Teoría Y Práctica : Con Solucionario  	 C1-C2 - Ramón Palencia, Luis Aragonés
