Horace Odes 	 874.01  	 Literature/Latin & Italic literatures/Latin lyric poetry/Odes And Epodes - Paul Shorey, Charles E. 1858-1921 Bennett, David R. Slavitt, Horace
I Heard God Laughing Poems of Hope and Joy 	 891.5511 : Literature/Other literatures/East Indo-European & Celtic literatures/I Heard God Laughing_ Poems Of Hope And Joy  	 Renderings Of Hafiz - Daniel James Ladinsky, active 14th century Ḥāfiẓ, H. Wilberforce 1840-1905 Clarke
I Know Why the Caged Bird Sings - Maya Angelou 	 818.5409  	 Literature/American literature in English/American miscellaneous writings/I Know Why The Caged Bird Sings, Maya Angelou - Selena Ward
Inferno 	 851.1  	 Literature/Italian, Romanian & related literatures/Italian poetry/The Divine Comedy Of Dante Alighieri - 1265-1321 Dante Alighieri, Charles Eliot Norton, Henry Wadsworth Longfellow, Henry Francis Cary
Invisible Cities 	 853.914  	 Literature/Italian, Romanian & related literatures/Italian fiction/Invisible Cities - Italo Calvino, Aurora Bernárdez, William Weaver, César Palma
Japanese Death Poems 	 895.610080354  	 Literature/Other literatures/Literatures of East & Southeast Asia/Japanese Death Poems =_ [Jisei - Yoel Hoffmann
Junky 	 813.54  	 Literature/American literature in English/American fiction in English/Junky - William S. Burroughs, Oliver Harris
Kamasutra 	 704.94280  	 Arts & recreation/Arts/Special topics in fine & decorative arts/Kama Sutra - Klaus Carl
Letters of Rainer Maria Rilke, 1892-1910 	 831  	 Literature/German & related literatures/German poetry/Letters Of Rainer Maria Rilke, 1892-1910 - Jane Bannard Greene, M. D. 1892-1985 Herter Norton, Rainer Maria Rilke
Light and Dark 	 895.6342  	 Literature/Other literatures/Literatures of East & Southeast Asia/Light And Darkness_ An Unfinished Novel - René de Ceccatty, V. H. 1926-2016 Viglielmo, John Nathan, Sōseki Natsume
Love's subtle Magic 	 891.4309921297  	 Literature/Other literatures/East Indo-European & Celtic literatures/Love'S Subtle Magic_ An Indian Islamic Literary Tradition, 1379-1545 - Aditya Behl, Wendy Doniger
Manimekalai 	 894.81111  	 Literature/Other literatures/Altaic, Uralic, Hyperborean & Dravidian/Manimekhalai_ The Dancer With The Magic Bowl - Alain Daniélou, Cāttan̲ār, Tirunelvēli Ten̲n̲intiya Caivacittānta Nūr̲patippuk Kal̲akam, Ti. Vē. Kōpālayyar
Micromegas - Voltaire 	 843.00917  	 Literature/French & related literatures/French fiction/Une Œuvre -- Zadig Et Micromégas, Voltaire ;_ Un Thème -- La Fiction Satirique, J. Prévert, A. De Saint-Exupéry, B. Vian -- - Michel Barlow
Miklós Radnóti 	 894.51113  	 Literature/Other literatures/Altaic, Uralic, Hyperborean & Dravidian/Foamy Sky_ The Major Poems Of Miklós Radnóti - Miklós Radnóti, Frederick Turner, Zsuzsanna Ozsváth
Mother, daughter, me 	 070.92  	 Computer science, information & general works/News media, journalism & publishing/News media, journalism & publishing/Mother, Daughter, Me_ A Memoir - Katie Hafner
Mountain 	 833.8  	 Literature/German & related literatures/German fiction/Heidi - Helen B. Dole, William Sharp, Johanna Spyri, Jessie Willcox Smith
Naked Lunch 	 813.54  	 Literature/American literature in English/American fiction in English/Naked Lunch - James Grauerholz, Eric Kahane, William S. Burroughs, Barry Miles
Necromancer 	 823.914  	 Literature/English & Old English literatures/English fiction/The Necromancer - Michael Scott, María Angulo Fernández
